spot_id,spot_name,description,lat,lon,text,sea,mountain,nature,history,play,shopping,food,family,rain
1,三井アウトレットパーク ジャズドリーム長島,国内最大級のアウトレットモール。人気ブランドの掘り出し物探しと絶景の伊勢湾ビューが同時に楽しめる、ショッピング好きの聖地。,35.03030575,136.7254342,三井アウトレットパーク ジャズドリーム長島は多数のブランド店舗が集まる大型商業施設で、買い物（shopping）が目的の観光地。屋内外に飲食店（food）も充実しており、家族連れ（family)でも利用しやすく、雨の日（rain）でも楽しめる。,0,0,0,0,0,1,1,1,1
2,伊勢神宮,日本最高位の特別な神宮。2000年の歴史を受け継ぐ神聖な森と五十鈴川の清らかな流れに包まれ、別格の空気を肌で感じる一生に一度は訪れたい聖地。,34.45515394,136.7251694,伊勢神宮は日本を代表する神社で、長い歴史（history）と文化を感じることができる神聖な場所。豊かな森林に囲まれた境内は自然（nature）を感じられ、落ち着いた雰囲気の中で参拝できる。家族連れ（family）にも人気がある。,0,0,1,1,0,0,0,1,0
3,おかげ横丁,食べ歩き天国！伊勢名物グルメと江戸情緒あふれる町並みが楽しい、写真映え抜群の人気観光ストリート。,34.46258106,136.722861,おかげ横丁は伊勢神宮の門前町として整備された歴史ある街並みが特徴。食べ歩き（food）や買い物（shopping）を楽しめ、家族連れ（family）にも人気の観光エリア。,0,0,0,1,0,1,1,1,0
4,ナガシマスパーランド,絶叫マシンの聖地！世界レベルのジェットコースターが揃う、スリル満点の遊園地。友達ともカップルでも盛り上がる鉄板スポット。,35.02771826,136.7274066,ナガシマスパーランドは多彩なアトラクションを備えた大型遊園地で、遊び（play）が目的の観光地。子ども向け施設も多く、家族連れ（family）に人気が高い。,0,0,0,0,1,0,0,1,0
5,なばなの里,幻想的なイルミネーションで有名な花のテーマパーク。四季の花畑とロマンチックな夜景が楽しめるデートの名所。,35.08229769,136.7035666,なばなの里は四季折々の花や自然景観（nature）を楽しめる観光スポット。散策しながら自然の美しさを感じられ、家族連れ（family）にも向いている。,0,0,1,0,0,0,0,1,0
6,鳥羽水族館,ラッコやジュゴンに会える☆日本トップクラスの飼育種類数！子どもから大人まで夢中になる癒しの水族館。,34.48167976,136.8457033,鳥羽水族館は海の生き物を展示する大型水族館で、体験型展示（play）が充実。家族連れ（family）に人気があり、雨の日（rain）でも楽しめる。,1,0,0,0,1,0,0,1,1
7,熊野古道,世界遺産の神秘的トレッキングコース。苔むす石畳と深い森に包まれながら歩く、心整うスピリチュアルな旅。,34.1158955,136.2115248,熊野古道は世界遺産にも登録された歴史ある参詣道で、自然（nature）と歴史（history）の両方を感じられる。山間部（mountain）を歩く静かな散策コースが特徴。,0,1,1,1,0,0,0,0,0
8,鳥羽温泉,海絶景×温泉のご褒美リゾート。伊勢志摩の海の幸と露天風呂で極上の癒し時間が過ごせる人気温泉地。,34.48683451,136.8431505,鳥羽温泉は海に近い温泉地で、海の景色（sea）を楽しみながら入浴できる。飲食店（food）もあり、ゆったり過ごせる観光地。,1,0,0,0,0,0,1,0,1
9,二見興玉神社,夫婦岩と朝日が有名な縁結びパワースポット。海に浮かぶ大しめ縄の神秘的な景色は一度は見たい絶景。,34.50897798,136.7878288,二見興玉神社は夫婦岩で知られる歴史ある海に面した神社で、歴史（history）と海景色（sea）を同時に楽しめる観光地。,1,0,1,1,0,0,0,0,0
10,御在所ロープウエイ,標高1212mの絶景空中散歩！四季の山景色と雲海が楽しめる、写真好きに大人気の天空スポット。,35.01803208,136.4463868,御在所ロープウェイは山の景色（mountain）や自然（nature）を空中から楽しめるロープウェイ。四季の風景を手軽に体験できる観光施設。,0,1,1,0,0,0,0,0,0
11,鈴鹿サーキット,F1開催でも知られるモータースポーツの聖地。遊園地も併設で、家族もレースファンも一日中楽しめる体験型テーマパーク。,34.84479669,136.5389697,鈴鹿サーキットはモータースポーツで有名な施設で、体験型アトラクション（play）が充実。子ども向け設備も多く、家族連れ（family）に人気。,0,0,0,0,1,0,0,1,0
12,志摩レジャー体験,英虞湾の美しいリアス海岸でカヤックやクルーズ体験！自然と一体になれるアクティブ派に人気の海遊びスポット。,34.32840868,136.8294573,志摩エリアでは海（sea）を活かした体験型レジャー（play）が楽しめる観光地。自然（nature）を感じながらアクティビティを体験できる。家族連れ（family）にも人気がある。,1,0,1,0,1,0,0,1,0
13,鬼ヶ城,波が削ったダイナミックな海岸絶景。自然が生んだ巨大アートのような岩場を歩く、冒険気分の絶景スポット。,33.91061047,136.1174131,鬼ヶ城は海沿い（sea）に広がる奇岩群が特徴の自然景観（nature)スポット。波と風によって形成された岩の造形を間近で見ることができる。屋外中心のため晴れた日におすすめ。,1,0,1,0,0,0,0,0,0
14,横山展望台,“志摩ブルー”と呼ばれる英虞湾の絶景パノラマが広がる感動スポット。SNSでも話題の三重屈指の映え展望台。,34.33288034,136.7989474,横山展望台は英虞湾の美しい海と多島美を一望できる自然（nature）景観スポットである。展望台へは山道を登ってアクセスでき、海（sea）と山（mountain）の両方の景色を楽しめる。写真撮影や自然散策を目的とした観光客に人気が高い。,1,1,1,0,0,0,0,0,0
15,伊賀上野城,“忍者の里”伊賀を象徴する名城。高石垣と白亜の天守が美しい、歴史ロマンあふれるフォトスポット。,34.77089751,136.1271459,伊賀上野城は高石垣で有名な歴史的な城で、城内の博物館では忍者文化や城の歴史（history）を学ぶことができる。屋内展示があるため雨の日（rain）でも観光でき、忍者体験施設（play）もあり家族連れ（family）にも人気がある。,0,0,0,1,1,0,0,1,1
16,VISON,日本最大級商業リゾート。グルメ・温泉・マルシェが揃う、今どき旅にぴったりのおしゃれ滞在エリア。,34.46138643,136.5153057,VISONはグルメ、ショッピング、温泉施設が集まる大型商業リゾートである。多くの飲食店（food）や土産物店（shopping）があり、家族（family）で一日中楽しめる。屋内施設も充実しているため雨の日（rain）でも快適に過ごせる。,0,0,0,0,0,1,1,1,1
17,志摩スペイン村,異国気分MAX！情熱のスペインの街並みとアトラクションが楽しめる、穴場だけど満足度の高いテーマパーク。,34.36233212,136.8444502,志摩スペイン村はアトラクションやショーが楽しめるテーマパークで、子どもから大人まで遊べる施設（play）が揃っている。屋内型アトラクションも多く、雨の日（rain）でも家族（family）で楽しめる観光地である。,0,0,0,0,1,0,0,1,1
18,ミキモト真珠島,世界で初めて真珠養殖に成功した歴史の島。海女さんの実演と真珠の輝きに触れられる、大人も楽しめる知的観光地。,34.48347491,136.8466974,ミキモト真珠島は海（sea）に囲まれた観光施設で、真珠の歴史（history）や養殖技術を学べる博物館がある。屋内展示が多く雨の日（rain）でも観光でき、真珠製品のショッピング（shopping）も楽しめる。,1,0,0,1,0,1,0,0,1
